"","Player","G","GS","MP","FG","FGA","FG%","2P","2PA","2P%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","school"
"1055","Cairo McCrory",3,1,9,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,1,1.3,0.75,0.3,0.7,1,0,0.3,0,0.3,1,2,"https://www.sports-reference.com/cbb/schools/massachusetts/2022.html"
"1056","Kolton Mitchell",16,1,7.9,0.4,0.9,0.429,0.4,0.8,0.5,0,0.1,0,0.2,0.3,0.75,0.4,0.4,0.8,0.8,0.6,0,0.6,0.8,0.9,"https://www.sports-reference.com/cbb/schools/massachusetts/2022.html"
"1057","Preston Santos",10,0,3.8,0.4,1.2,0.333,0.3,0.3,1,0.1,0.9,0.111,0,0,NA,0.1,0.2,0.3,0.1,0,0.2,0.1,0.5,0.9,"https://www.sports-reference.com/cbb/schools/massachusetts/2022.html"
"1058","Ryan Marcus",5,0,1.4,0,0.4,0,0,0,NA,0,0.4,0,0.8,0.8,1,0.2,0,0.2,0.2,0.2,0,0.2,0,0.8,"https://www.sports-reference.com/cbb/schools/massachusetts/2022.html"
"1059","John Kelly",2,0,1,0,0.5,0,0,0.5,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/massachusetts/2022.html"
"1060","Makhel Mitchell",31,27,26.5,4.4,8.7,0.502,4.4,8.5,0.515,0,0.2,0,2,3.8,0.525,1.1,4.5,5.6,1.3,0.7,2.4,1.9,2.8,10.7,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1061","Makhi Mitchell",31,27,24.1,3.9,7.5,0.522,3.7,6.7,0.545,0.2,0.7,0.304,1.9,3.6,0.522,1.6,5.6,7.3,1.5,1,1.4,2.8,2.9,9.9,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1062","Jeremy Sheppard",30,28,28.6,3.2,8.4,0.382,1.7,3.9,0.432,1.5,4.4,0.338,2,2.5,0.797,0.2,2.5,2.7,3.1,1.4,0.1,1.9,1.8,9.9,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1063","Ishmael Leggett",31,31,25.9,2.7,7.4,0.371,2,4.9,0.399,0.8,2.5,0.316,2,3,0.685,1.3,1.8,3.1,1.6,1.1,0.2,1.6,2.4,8.3,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1064","Malik Martin",30,4,25.6,2.7,5.4,0.509,2.3,3.5,0.642,0.5,1.8,0.255,1.6,2.4,0.671,1.9,3.5,5.4,1,0.6,0.7,1.1,1.1,7.6,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1065","Antwan Walker",30,4,21,3.1,5.6,0.563,2.5,4.1,0.623,0.6,1.5,0.4,0.6,1.2,0.514,1.5,3.2,4.7,1.1,0.6,0.6,1.5,2.2,7.5,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1066","Ishmael El-Amin",31,31,22.3,2.2,5.1,0.427,1,2.3,0.437,1.2,2.8,0.419,1,1.1,0.912,0.4,1.5,1.8,1.1,0.7,0.2,1,2.1,6.5,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1067","Jalen Carey",24,0,15.2,2,4.7,0.434,1.5,3.5,0.422,0.6,1.3,0.467,1,1.5,0.657,0.2,1.8,1.9,1.2,0.8,0.3,1.3,0.8,5.6,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1068","Sebastian Thomas",31,3,14.2,1.1,2.9,0.382,0.9,2,0.459,0.2,0.9,0.214,0.4,1,0.367,0.3,1.2,1.5,2,0.5,0.1,0.9,1.2,2.7,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1069","Tres Berry",6,0,5,0.7,1.5,0.444,0.3,0.3,1,0.3,1.2,0.286,0.3,0.7,0.5,0.3,0.5,0.8,0,0,0,0,0.5,2,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1070","Ileri Ayo-Faleye",9,0,4.7,0.2,1.1,0.2,0.2,0.8,0.286,0,0.3,0,0,0,NA,0.3,0.3,0.7,0,0.2,0.3,0.1,0.2,0.4,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1071","Parnell Pierre",1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,"https://www.sports-reference.com/cbb/schools/rhode-island/2022.html"
"1072","Clifton Moore",30,30,30.3,4.8,9.9,0.49,4.3,7.8,0.553,0.5,2,0.246,2.7,3.7,0.723,1.9,4.2,6.1,1.2,0.4,2.8,1.5,2.5,12.9,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1073","Jack Clark",30,23,30.4,4.4,11.5,0.384,2.8,6.2,0.459,1.6,5.4,0.298,1.6,2,0.797,1.7,4.1,5.8,1.6,1.2,0.2,1.9,1.9,12,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1074","Josh Nickelberry",29,21,25.3,4,9.8,0.408,1.9,4,0.478,2.1,5.8,0.361,1.1,1.5,0.721,0.3,2.4,2.8,0.8,0.3,0,1.1,1.7,11.2,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1075","Jhamir Brickus",28,24,28,3.4,7.5,0.45,2,3.7,0.544,1.4,3.8,0.358,0.9,1.3,0.649,0.4,2.2,2.6,3.3,0.7,0.1,2.1,2,8.9,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1076","Sherif Gross-Bullock",9,3,21.8,2.6,7.1,0.359,1.1,2.8,0.4,1.4,4.3,0.333,2.1,2.9,0.731,0.3,2.1,2.4,2,0.8,0.3,2.4,2.1,8.7,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1077","Khalil Brantley",29,4,19.4,2.6,7.3,0.354,2,5.2,0.388,0.6,2.1,0.267,2.2,3.3,0.684,0.5,1.8,2.3,1.6,1,0.1,1.4,1.8,8,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1078","Christian Ray",29,18,28,1.9,4.6,0.424,1.4,2.6,0.541,0.6,2,0.276,0.6,1,0.533,2.3,4.6,6.9,1.6,0.7,0.2,1.1,2.3,5,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1079","Anwar Gill",28,12,19.5,1.7,4.5,0.373,1.3,3.4,0.394,0.4,1.1,0.313,0.6,1,0.621,0.5,2.3,2.9,2.9,1.2,0.4,2,2.4,4.4,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1080","Charles Ireland",1,0,2,1,1,1,0,0,NA,1,1,1,0,0,NA,1,0,1,0,0,0,0,0,3,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1081","Matt McFarlane",13,0,8.2,0.8,2.5,0.313,0.2,1.1,0.214,0.5,1.4,0.389,0,0.2,0,0.4,0.8,1.2,0.2,0.2,0.2,0.2,1.3,2.1,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1082","Daeshon Shepherd",19,0,8,0.9,1.8,0.529,0.7,1.3,0.583,0.2,0.5,0.4,0,0.2,0,0.3,0.4,0.7,0.2,0,0.1,0.4,0.5,2.1,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1083","Mamadou Doucoure",29,13,11.1,0.8,1.7,0.46,0.8,1.7,0.46,0,0,NA,0.3,0.5,0.643,1,1.7,2.7,0.1,0.3,0.2,0.5,1.3,1.9,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1084","Tegra Izay",3,0,7.3,0.7,1.3,0.5,0.7,1.3,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,2,1.3,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1085","Brandon Dwyer",1,0,2,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1086","Andrew Lafond",4,1,1.5,0,0.3,0,0,0.3,0,0,0,NA,0,0,NA,0,0.3,0.3,0,0.3,0,0,0.3,0,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1087","Kyle Thompson",4,1,1.5,0,1,0,0,0.8,0,0,0.3,0,0,0,NA,0,0.3,0.3,0,0,0,0.3,0,0,"https://www.sports-reference.com/cbb/schools/la-salle/2022.html"
"1088","Jordan Hall",30,29,34.9,5.2,13.3,0.393,3,7.1,0.42,2.3,6.3,0.362,1.4,1.9,0.737,1,5.7,6.7,5.8,1.2,0.2,3.5,2.5,14.1,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1089","Taylor Funk",28,28,36.1,4.2,10.3,0.406,1.5,3,0.488,2.7,7.3,0.373,2.1,2.5,0.87,1.5,5.1,6.6,1.8,0.9,0.3,1.5,1.5,13.2,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1090","Ejike Obinna",30,30,28.6,5,8.8,0.574,5,8.8,0.574,0,0,NA,2,4.1,0.488,2.8,5.1,7.9,0.7,0.3,0.4,2,2.8,12.1,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1091","Erik Reynolds II",30,29,32.1,4.3,10.4,0.417,2.7,5.4,0.491,1.7,5,0.336,1.7,2.1,0.839,0.3,1.8,2.1,2.3,0.8,0.3,2.1,2.9,12.1,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1092","Cameron Brown",30,25,30,3.2,7.8,0.41,1.8,3.6,0.495,1.4,4.2,0.336,0.5,0.9,0.571,0.9,3.4,4.3,1.8,0.9,0.3,1.7,1.6,8.3,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1093","Jack Forrest",22,1,14.1,1.3,4,0.315,0.7,1.7,0.405,0.6,2.4,0.25,0.5,0.6,0.769,0.1,1.6,1.7,0.5,0.4,0.1,0.5,1.5,3.6,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1094","Dahmir Bishop",29,1,16.1,1,3.2,0.319,0.6,1.5,0.386,0.4,1.7,0.26,0.6,1.1,0.515,0.3,1.6,1.9,0.3,0.3,0.4,1,1.1,3.1,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1095","Charles Coleman",24,1,10.5,0.9,2,0.447,0.6,1.3,0.5,0.3,0.7,0.353,0.3,0.7,0.412,0.7,2,2.8,0.4,0.2,0.3,0.5,1.6,2.3,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1096","Nikkos Luna-Nash",1,0,1,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1097","Kacper Klaczek",11,4,11.9,0.7,2.5,0.296,0.7,1.4,0.533,0,1.1,0,0.1,0.1,1,0.5,1.1,1.5,0.8,0.3,0.5,0.9,1.7,1.5,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1098","Jadrian Tracey",2,0,9.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,NA,0,0,NA,1,0.5,1.5,0.5,0.5,0,0.5,2,1,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1099","Anton Jansson",15,2,5.3,0.4,0.8,0.5,0.4,0.8,0.5,0,0,NA,0.1,0.3,0.25,0.3,0.8,1.1,0.1,0,0.1,0.6,1.2,0.9,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1100","Chris Arizin",5,0,1,0.2,0.4,0.5,0.2,0.4,0.5,0,0,NA,0,0,NA,0.2,0.2,0.4,0,0,0,0,0.2,0.4,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1101","Brian Geatens",2,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/saint-josephs/2022.html"
"1102","Primo Spears",30,28,32.2,4.6,12.6,0.367,3.6,9.3,0.391,1,3.3,0.3,2.4,3.3,0.745,0.3,2.2,2.5,3,1.3,0.1,2.1,1.5,12.7,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1103","Tre Williams",26,26,31.4,4.5,10.1,0.45,4.3,8.3,0.516,0.3,1.8,0.149,1.4,2.5,0.561,2.4,3.3,5.7,1.2,0.6,2.1,1.8,2.3,10.8,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1104","Kevin Easley",30,26,31.8,4.1,10.3,0.399,2.8,6.5,0.438,1.3,3.8,0.333,1.2,1.7,0.706,2.4,4.2,6.6,0.9,1.4,0.4,1,2,10.7,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1105","Leon Ayers",27,14,26.1,3.4,9.1,0.372,2.3,5,0.463,1.1,4.2,0.265,2,2.4,0.833,0.7,3.4,4,1.6,1.1,0.3,1.9,1.4,10,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1106","Jackie Johnson III",30,11,19.4,3.4,8.1,0.424,2.1,4.4,0.466,1.4,3.7,0.373,1.3,1.6,0.776,0.2,1.3,1.5,1.2,0.6,0.1,1.6,0.8,9.5,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1107","Tyson Acuff",30,16,23,2.2,4.8,0.448,1.2,2.5,0.5,0.9,2.4,0.394,0.5,0.6,0.737,0.4,2.5,2.9,0.9,0.6,0.2,0.7,1.4,5.7,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1108","Toby Okani",30,15,19.9,1.6,4.4,0.364,1.4,3.4,0.416,0.2,1,0.194,0.5,0.8,0.696,1.6,2.1,3.7,0.8,0.7,0.5,1.2,1.8,3.9,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1109","Austin Rotroff",13,0,10.9,1.4,1.9,0.72,1.4,1.8,0.75,0,0.1,0,0.2,1,0.154,1.9,1.8,3.8,0.5,0.2,0.4,0.4,1.7,2.9,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1110","Mounir Hima",21,5,9.6,0.8,1.9,0.425,0.8,1.9,0.425,0,0,NA,0.2,0.3,0.833,1,1.7,2.8,0,0.2,1,0.5,1.7,1.9,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1111","Davis Larson",21,3,11,0.7,1.8,0.378,0.5,1.2,0.423,0.1,0.5,0.273,0.1,0.2,0.75,0.6,1.2,1.8,0.3,0.2,0,0.3,1,1.6,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1112","Mike Bekelja",23,6,9.1,0.2,0.9,0.25,0,0.3,0.143,0.2,0.6,0.308,0.3,0.3,0.75,0.2,0.7,0.9,0.4,0.2,0,0.4,0.7,0.9,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1113","Noah Buono",2,0,1,0,1.5,0,0,0,NA,0,1.5,0,0,0,NA,0,0,0,0.5,0,0,0.5,0,0,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1114","Rodney Gunn",1,0,4,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,"https://www.sports-reference.com/cbb/schools/duquesne/2022.html"
"1115","Drew Timme",32,32,28,7.3,12.4,0.586,7,11.5,0.609,0.3,0.9,0.286,3.7,5.4,0.678,1.8,4.9,6.8,2.8,0.3,0.8,2.5,1.6,18.4,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1116","Chet Holmgren",32,31,26.9,5.3,8.8,0.607,4,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1117","Andrew Nembhard",32,32,32.2,4.4,9.7,0.452,2.8,5.5,0.503,1.6,4.2,0.383,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2,11.8,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1118","Julian Strawther",32,31,26.8,4.2,8.5,0.498,2.5,3.8,0.659,1.7,4.6,0.365,1.7,2.4,0.705,1.3,4.1,5.4,1,0.5,0.2,0.8,2,11.8,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1119","Rasir Bolton",32,32,27.3,3.8,7.7,0.502,1.8,3.3,0.557,2,4.3,0.46,1.5,1.9,0.817,0.3,2.2,2.4,2.3,0.6,0,1.3,1.9,11.2,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1120","Anton Watson",32,0,18.1,2.7,4.9,0.538,2.5,4.3,0.588,0.2,0.7,0.227,1.9,2.7,0.698,1.4,3.3,4.7,1.9,1.3,0.3,1.1,1.9,7.3,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1121","Nolan Hickman",32,0,17.2,2,4.5,0.444,1.3,2.1,0.606,0.8,2.4,0.308,0.3,0.5,0.667,0.1,1.4,1.5,1.3,0.6,0.2,0.7,0.9,5.1,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1122","Hunter Sallis",32,0,13.6,1.8,3.2,0.564,1.6,2.6,0.634,0.2,0.6,0.263,0.5,0.8,0.708,0.6,1.4,2,0.6,0.6,0.2,0.7,1.1,4.3,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1123","Ben Gregg",17,0,6.3,1,2.7,0.37,0.8,1.9,0.394,0.2,0.8,0.308,0.1,0.4,0.286,0.8,1.2,2,0.6,0.2,0.5,0.3,1.2,2.4,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1124","Kaden Perry",8,0,6.6,0.9,1.1,0.778,0.9,1.1,0.778,0,0,NA,0,0.4,0,0.8,1.5,2.3,0.1,0,0.1,0.5,1.3,1.8,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1125","Matthew Lang",17,1,3.1,0.4,0.8,0.5,0.2,0.2,1,0.2,0.6,0.3,0,0,NA,0.1,0.7,0.8,0.2,0.1,0,0.1,0.4,1,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1126","Martynas Arlauskas",16,0,3.6,0.3,0.7,0.455,0.3,0.7,0.455,0,0,NA,0.3,0.6,0.556,0.4,0.4,0.8,0,0.1,0.1,0.1,0.3,0.9,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1127","Will Graves",16,1,1.8,0.2,0.6,0.3,0,0.1,0,0.2,0.6,0.333,0.1,0.1,1,0.2,0.1,0.3,0,0.1,0,0.1,0.1,0.7,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1128","Joe Few",13,0,1.6,0,0.7,0,0,0.4,0,0,0.3,0,0.1,0.2,0.5,0.2,0.5,0.7,0.3,0,0,0,0.2,0.1,"https://www.sports-reference.com/cbb/schools/gonzaga/2022.html"
"1129","Matthias Tass",34,34,28.9,5,9,0.559,5,8.5,0.587,0.1,0.5,0.111,2.5,3.2,0.796,2.1,4,6.1,2.1,0.5,0.7,1.6,2.5,12.6,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1130","Tommy Kuhse",34,21,30,4.8,9.6,0.494,3.3,6.4,0.516,1.4,3.2,0.45,1.2,1.5,0.808,0.5,3.2,3.7,3.7,0.9,0.2,2.1,1.9,12.2,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1131","Logan Johnson",34,34,31.7,4.5,10.3,0.438,3.7,7.7,0.479,0.8,2.6,0.318,2.1,2.9,0.72,0.3,3.8,4.1,2.6,2,0.3,1.7,2.8,11.9,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1132","Alex Ducas",34,34,29.8,3.6,8.7,0.409,1.6,3.6,0.439,2,5.1,0.387,1.2,1.5,0.82,0.5,3.2,3.7,0.9,0.9,0.2,1.1,1.6,10.3,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1133","Dan Fotu",34,0,13.9,2.3,4.6,0.5,1.9,3.3,0.568,0.4,1.3,0.333,1.3,1.7,0.754,0.6,2.3,3,0.5,0.4,0.2,0.9,1.4,6.3,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1134","Kyle Bowen",34,34,29.4,2,4.2,0.476,0.8,1.2,0.683,1.2,3,0.392,0.4,0.6,0.714,1.2,4.3,5.5,1.3,0.7,0.4,0.6,2.2,5.6,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1135","Mitchell Saxen",28,0,7.4,1.4,2.6,0.527,1.4,2.6,0.527,0,0,NA,0.5,0.9,0.542,1.4,1,2.3,0.1,0.1,0.5,0.5,0.9,3.3,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1136","Augustas Marciulionis",34,13,15.1,1,3.3,0.304,0.7,1.5,0.442,0.3,1.8,0.183,0.8,0.9,0.839,0.2,0.7,1,1.8,0.9,0.1,1.6,1.4,3.1,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1137","Jabe Mullins",34,0,9.6,1,2.4,0.41,0.4,0.7,0.5,0.6,1.7,0.373,0.2,0.4,0.667,0.3,0.7,1,0.3,0.3,0.1,0.2,0.5,2.9,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1138","Leemet Bockler",12,0,4,0.8,1.8,0.409,0.3,0.8,0.444,0.4,1.1,0.385,0,0,NA,0.1,0.8,0.8,0.3,0.2,0,0.3,0.4,1.9,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1139","Judah Brown",18,0,4.5,0.6,1.6,0.379,0.3,0.4,0.625,0.3,1.2,0.286,0.1,0.1,1,0.1,0.5,0.6,0,0.2,0,0.2,0.3,1.7,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1140","Luke Barrett",15,0,3.9,0.5,1.1,0.471,0.5,0.6,0.778,0.1,0.5,0.125,0,0.1,0,0.5,0.5,0.9,0.4,0.2,0,0.1,0.6,1.1,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1141","Quinn Clinton",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/saint-marys-ca/2022.html"
"1142","Jalen Williams",33,33,34.8,6.6,12.9,0.513,5.4,9.7,0.551,1.3,3.2,0.396,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.6,18,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1143","Josip Vrankic",25,25,30.1,6.1,10.9,0.56,5.6,9.5,0.595,0.5,1.4,0.333,2.9,3.7,0.793,1.6,4.2,5.7,3.1,1.2,0.4,2.4,2.2,15.6,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1144","Keshawn Justice",33,33,34.2,4.3,10.2,0.424,2,4.7,0.426,2.3,5.5,0.423,2,2.2,0.89,0.5,6.3,6.7,2.2,0.7,0.4,0.8,1.4,13,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1145","PJ Pipes",31,31,30.9,4.2,10.1,0.415,2.6,5.5,0.471,1.6,4.6,0.35,2,2.4,0.824,0.1,2.6,2.7,2.9,0.9,0.1,2.1,1.9,12,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1146","Parker Braun",33,32,29.2,3.1,5.5,0.561,2.7,4.3,0.62,0.4,1.2,0.342,0.4,0.9,0.483,1.4,3.9,5.3,1.6,0.6,1.3,1.5,1.8,6.9,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1147","Carlos Stewart",33,2,13.5,2,4.2,0.468,1.7,3.4,0.495,0.3,0.8,0.357,1.2,1.4,0.809,0.4,1.1,1.5,0.8,1,0,0.9,1.3,5.4,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1148","Giordan Williams",33,1,14.5,1.9,4.3,0.44,1.1,2.1,0.515,0.8,2.2,0.37,0.5,0.8,0.68,0.1,1.5,1.5,0.5,0.5,0.1,0.8,1.2,5.1,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1149","Jaden Bediako",25,7,17.2,1.7,3,0.566,1.7,3,0.566,0,0,NA,0.6,1.2,0.533,1.8,3.1,4.9,0.6,0.2,1.1,0.7,2.1,4.1,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1150","Miguel Tomley",11,1,7,0.5,1.5,0.375,0.2,0.4,0.5,0.4,1.1,0.333,0.4,0.6,0.571,0.2,0.6,0.8,0.2,0.1,0,0.2,0.2,1.8,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1151","Jacob Holt",21,0,5.7,0.7,1.4,0.483,0.6,1.3,0.481,0,0.1,0.5,0.3,0.7,0.5,0.7,1.1,1.8,0,0,0.1,0.1,1,1.7,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1152","Camaron Tongue",19,0,6.2,0.7,1.5,0.448,0.6,1.1,0.55,0.1,0.5,0.222,0.2,0.5,0.333,0.7,1,1.7,0.3,0.1,0.2,1.1,1.5,1.6,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1153","Eli Barry",2,0,1,0.5,0.5,1,0.5,0.5,1,0,0,NA,0,0,NA,0,0.5,0.5,0,0,0,0,0,1,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1154","Max Dorward",3,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0.3,0,0,0,0,0,"https://www.sports-reference.com/cbb/schools/santa-clara/2022.html"
"1155","Jamaree Bouyea",34,34,36.2,6.4,13.7,0.47,4.3,7.9,0.544,2.1,5.8,0.367,2.3,3,0.755,0.5,4.5,5,4,1.8,0.9,2.3,1.5,17.3,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1156","Khalil Shabazz",34,34,30,4.6,12.1,0.383,2.3,5.4,0.432,2.3,6.7,0.345,2.1,2.5,0.845,0.5,2.7,3.2,2.1,1.7,0,1.6,2.2,13.7,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1157","Yauhen Massalski",32,32,27.2,5.7,9.6,0.596,5.7,9.3,0.607,0.1,0.3,0.222,2,3.8,0.512,3.4,6,9.4,1.6,0.5,2.2,2.4,3,13.5,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1158","Gabe Stefanini",34,34,24.5,3.3,7.6,0.432,1.8,3.5,0.521,1.5,4.1,0.357,1.4,1.8,0.79,0.4,2.1,2.5,2.1,1.1,0,2.1,2,9.5,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1159","Julian Rishwain",34,0,19.2,2.4,5.4,0.44,0.7,1.6,0.463,1.6,3.8,0.43,1.1,1.4,0.766,0.6,2.4,3,0.7,0.6,0.1,0.9,1.8,7.4,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1160","Patrick Tape",34,34,20.7,1.7,2.8,0.6,1.6,2.6,0.602,0.1,0.2,0.571,1.6,2.2,0.733,2,2.4,4.5,1.1,0.9,0.6,1.1,2.6,5.1,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1161","Zane Meeks",27,0,14,1.7,4.7,0.352,0.5,1,0.464,1.2,3.7,0.32,0.5,0.8,0.667,0.9,1.4,2.3,0.7,0.1,0.4,0.4,1.6,5,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1162","Josh Kunen",34,2,19.7,1.4,3.6,0.405,0.7,1.1,0.615,0.7,2.4,0.305,0.6,1.1,0.611,0.8,2.6,3.3,0.8,0.6,0.3,0.7,2.3,4.3,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
"1163","Volodymyr Markovetskyy",26,0,6.6,0.7,1.1,0.643,0.7,1.1,0.643,0,0,NA,0.5,0.8,0.6,0.4,1,1.5,0,0.1,0.3,0.4,1.2,1.8,"https://www.sports-reference.com/cbb/schools/san-francisco/2022.html"
